Previous Day Price,Volume,Price
355.666656,92713200,
364.646667,71145900,
362.823334,60324000,
362.063324,56154000,
356.779999,47040900,
352.26001,40733700,
399.926666,103931400,
383.196655,100248300,
362.706665,80119800,
354.899994,90336600,
342.320007,84164700,
352.706665,91815000,
354.799988,66063300,
368.73999,83739000,
343.853333,97209900,
349.869995,72924300,
343.503326,66743400,
331.883331,75442500,
332.089996,70488600,
314.633331,103416000,
310,151565700,
306.133331,86595900,
312.470001,104867400,
276.366669,147109500,
282.116669,134789100,
312.23999,104436000,
310.416656,73138200,
301.886658,66792900,
297.046661,78855600,
307.773346,73625400,
302.446655,60994500,
307.333344,50729100,
310.666656,52259400,
301.516663,66126900,
286.666656,79645800,
291.920013,67756500,
307.476654,57286200,
307.796661,51294300,
292.116669,55178400,
285.660004,68501700,
273.843323,83288100,
254.679993,95256900,
266.92334,135322200,
269.956665,76067700,
290.143341,99006900,
288.123322,74766900,
293.296661,74643300,
279.763336,61623600,
279.429993,66999600,
268.193329,72494100,
274.799988,80399100,
286.323334,59184000,
279.433319,58648500,
265.116669,67037100,
255.456665,71152200,
267.296661,66841200,
280.07666,84028800,
290.533325,66582900,
301.796661,100414200,
307.053345,81981600,
331.32666,105868500,
333.036682,120676200,
337.973328,68920800,
336.880005,62031600,
363.946655,102506100,
366.523346,73614900,
364.66333,59865000,
359.200012,48992700,
361.529999,54263100,
381.816681,82035900,
363.753326,80075100,
348.58667,89348400,
352.420013,79447200,
341.829987,55013700,
325.309998,59357100,
328.983337,65976000,
340.790009,55121100,
328.333344,58422300,
334.763336,51715200,
342.716675,49847700,
325.733337,70711200,
336.26001,105416400,
335.016663,69696600,
332.67334,68341200,
292.140015,136133700,
293.83667,76956300,
292.503326,124948500,
290.253326,88133100,
300.980011,75781500,
303.083344,63709500,
317.540009,81643800,
291.093323,92519100,
288.549988,72903000,
262.369995,90810300,
266.679993,84401700,
244.666672,97224600,
242.666672,140313000,
256.529999,92150700,
241.456665,86098500,
253.869995,80236200,
236.603333,87811800,
236.473328,90296700,
221.300003,144973200,
224.96666,88903500,
209.386673,89092500,
219.600006,92139300,
235.910004,106003200,
253.210007,89295000,
252.753326,101914500,
246.789993,77247900,
258.333344,93473100,
234.516663,112393800,
238.279999,84204600,
238.886673,72808500,
241.866669,76210500,
239.706665,96491400,
232.229996,97536600,
215.736664,102767400,
220.889999,97988700,
233,119131800,
213.100006,107390700,
216.759995,92641800,
237.036667,122793000,
236.08667,101107500,
235.070007,104202600,
245.706665,95770800,
244.919998,89178300,
232.66333,90391200,
228.490005,82897200,
224.473328,94600500,
227.263336,74460300,
233.066666,84581100,
231.733337,71853600,
244.543335,81930600,
250.763336,101854200,
234.343338,99241200,
233.070007,87930900,
237.039993,97954500,
238.313339,78557400,
240.066666,69683100,
240.546661,82537500,
245.529999,80890200,
247.5,88864200,
271.706665,142032300,
272.243347,103472700,
268.433319,64073400,
258.859985,66820800,
274.820007,88110000,
280.899994,84723000,
297.149994,95313000,
297.276672,117042900,
300.58667,95577600,
307.396667,80091000,
308.633331,72256200,
288.170013,113172900,
290.42334,98994000,
283.333344,86244600,
294.356659,94918800,
286.630005,70155000,
300.029999,79657200,
309.320007,89359200,
306.563324,88136400,
303.996674,68766000,
302.869995,47500500,
296.666656,61395300,
289.91333,55843200,
296.453339,63984900,
297.09668,57259800,
296.070007,53230000,
288.089996,57163900,
284.820007,41864700,
277.700012,50541800,
275.609985,52107300,
277.160004,54287000,
270.209991,50890100,
274.420013,55860000,
283.700012,50028900,
289.26001,53713100,
299.679993,54338100,
304.420013,48674600,
292.130005,68229600,
302.609985,72628700,
303.75,64795500,
303.350006,87087800,
309.070007,60231200,
308.730011,61642800,
300.799988,62555700,
288.589996,70545400,
275.329987,63748400,
276.01001,58076900,
282.940002,61925200,
287.809998,54664800,
268.209991,77620600,
265.25,67726600,
242.399994,98363500,
249.440002,109578500,
240.809998,86982700,
238.130005,69298400,
223.070007,83916800,
222.960007,67925000,
216.5,77013200,
217.240005,66860700,
221.720001,91483000,
204.990005,94124500,
219.350006,79428800,
220.190002,75891900,
222.039993,66571500,
207.279999,117798100,
214.440002,75713800,
211.25,100446800,
222.419998,96507900,
224.639999,85012500,
225.089996,61638800,
228.520004,69152400,
227.539993,61554300,
227.820007,62688800,
214.979996,63070300,
215.309998,56538800,
207.470001,98622200,
197.080002,93916500,
191.300003,128803400,
177.589996,127062700,
190.720001,132703000,
195.970001,114403600,
190.949997,92226600,
194.419998,91293800,
186.919998,66567600,
183.169998,64336000,
180.190002,76048900,
167.869995,92882700,
169.910004,78452300,
183.199997,109536700,
182.860001,50672700,
182.919998,92905200,
180.830002,83357100,
194.699997,109186400,
194.699997,80046200,
194.860001,73533400,
182.449997,93122700,
179.820007,92150800,
174.039993,84213300,
173.440002,97624500,
179.050003,104746600,
167.820007,109794500,
160.949997,175862700,
156.800003,140682300,
157.669998,122334500,
150.229996,138459600,
149.869995,139390600,
137.800003,159563300,
137.570007,145417400,
125.349998,208580600,
